instance,conflict_threshold,action,status,time_to_best,time,obj_bound,obj_value
beasley\scp41-3.txt,1,SCP-CS_QO,OPTIMAL,109.28253555297852,188.79935836791992,2037.0,2037.0
beasley\scp410-3.txt,1,SCP-CS_QO,OPTIMAL,483.6161479949951,511.9290313720703,2500.999999999899,2501.0
beasley\scp42-3.txt,1,SCP-CS_QO,OPTIMAL,1.1248149871826172,65.92262077331543,1977.0,1977.0
beasley\scp43-3.txt,1,SCP-CS_QO,OPTIMAL,519.4595775604248,2742.031686782837,2583.0,2583.0
beasley\scp44-3.txt,1,SCP-CS_QO,OPTIMAL,653.7249126434326,662.0218734741211,2542.9999999999986,2543.0
beasley\scp45-3.txt,1,SCP-CS_QO,OPTIMAL,166.3292465209961,236.14237594604492,2247.0,2247.0
beasley\scp46-3.txt,1,SCP-CS_QO,OPTIMAL,11.734380722045898,1081.4938259124756,2602.0,2602.0
beasley\scp47-3.txt,1,SCP-CS_QO,OPTIMAL,1668.2011947631836,1860.5933876037598,2128.0,2128.0
beasley\scp48-3.txt,1,SCP-CS_QO,OPTIMAL,1238.8375396728516,1496.683261871338,2646.9999999999986,2647.0
beasley\scp49-3.txt,1,SCP-CS_QO,TIME_LIMIT,1558.5584697723389,3600.0419273376465,2250.0,2604.0
beasley\scp51-3.txt,1,SCP-CS_QO,TIME_LIMIT,3428.8993129730225,3600.5255336761475,1305.0,1637.0
beasley\scp510-3.txt,1,SCP-CS_QO,OPTIMAL,968.6006011962891,1291.3685245513916,1338.0,1338.0
beasley\scp52-3.txt,1,SCP-CS_QO,OPTIMAL,2187.327922821045,2602.987133026123,1446.0,1446.0
beasley\scp53-3.txt,1,SCP-CS_QO,OPTIMAL,2415.7514934539795,2864.692283630371,1423.0,1423.0
beasley\scp54-3.txt,1,SCP-CS_QO,TIME_LIMIT,3321.8359813690186,3600.228584289551,1241.0,1392.0
beasley\scp55-3.txt,1,SCP-CS_QO,OPTIMAL,2027.7697296142578,2085.0685424804688,1375.0,1375.0
beasley\scp56-3.txt,1,SCP-CS_QO,TIME_LIMIT,3215.3239517211914,3600.6411323547363,1216.0,1410.0
beasley\scp57-3.txt,1,SCP-CS_QO,TIME_LIMIT,2583.2160968780518,3600.4444065093994,1502.0,1551.0
beasley\scp58-3.txt,1,SCP-CS_QO,TIME_LIMIT,2976.211902618408,3600.2949562072754,1219.0,1611.0
beasley\scp59-3.txt,1,SCP-CS_QO,TIME_LIMIT,2637.879602432251,3600.3243618011475,1304.0,1518.0
beasley\scp61-3.txt,1,SCP-CS_QO,TIME_LIMIT,169.12622261047363,3600.1522426605225,1571.0,2930.0
beasley\scp62-3.txt,1,SCP-CS_QO,TIME_LIMIT,369.5920639038086,3600.0607833862305,1526.0,3437.0
beasley\scp63-3.txt,1,SCP-CS_QO,TIME_LIMIT,35.14042854309082,3600.0934448242188,1634.0,4840.0
beasley\scp64-3.txt,1,SCP-CS_QO,TIME_LIMIT,1050.453088760376,3600.156213760376,1462.0,3447.0
beasley\scp65-3.txt,1,SCP-CS_QO,TIME_LIMIT,1808.2656478881836,3600.0980110168457,1364.0,3345.0
beasley\scpa1-3.txt,1,SCP-CS_QO,TIME_LIMIT,357.5879669189453,3600.9196224212646,1028.0,3136.0
beasley\scpa2-3.txt,1,SCP-CS_QO,TIME_LIMIT,3478.040126800537,3600.64981842041,993.0,3291.0
